"store","week","cola_profit","cola_move","pepsi_profit","pepsi_move","sprite_profit","sprite_move","store","week","grocery","dairy","frozen","bottle","mvpclub","groccoup","meat","meatfroz","meatcoup","fish","fishcoup","promo","promcoup","produce","bulk","saladbar","prodcoup","bulkcoup","salcoup","floral","florcoup","deli","deliself","deliexpr","convfood","cheese","delicoup","bakery","pharmacy","pharcoup","gm","jewelry","cosmetic","haba","gmcoup","camera","photofin","video","videoren","vidcoup","beer","wine","spirits","miscscp","mancoup","custcoun","ftgchin","ftgccoup","ftgital","ftgicoup","daircoup","frozcoup","habacoup","photcoup","cosmcoup","ssdelicp","bakcoup","liqcoup","days"
2,49,91.95,49,135.48,109,47.52,7,2,49,111643.95,27849.3898925781,20653.9301757812,6.54,0,-252.27,32194.84,2591.84997558594,-1953.55999755859,2800.52,0,81.12,0,28886.34,428.22,112.289997816086,-132.289999008179,0,0,696.78,-21,11665.04,9329.69995117188,0,907.799987792969,1241.15999603271,-36.6200003623962,11980.4200439453,0,0,13561.74,0,0,5449.88,-81.1299996376038,0,580.789993286133,94.1500010490417,0,-4,0,0,0,-556.150001525879,0,13413,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,50,73.88,336,121.78,580,88.36,77,2,50,116826.22,27847.91015625,20775.0402832031,3.97,0,-1284.14,25836.1,2163.2799987793,-54.6800012588501,3622.33,0,30.82,0,31373.59,366.94,53.7600002288818,-140.75,0,0,1185.35,0,12511.2,9143.91998291016,0,834.919998168945,938.669998168945,-107.25,11182.2600097656,0,0,13636.38,0,0,5204.22,-43.440000295639,0,774.069995880127,47.0099987983704,0,0,0,0,0,-76.2800004482269,0,13508,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,51,93.81,168,232.61,1273,135.85,32,2,51,123904.81,29180.4094238281,19143.4802246094,12.75,0,-385.52,33499.24,2444.1499786377,-10.6000003814697,2351.09,0,108.4,-8,32803.82,642.39,42.1600003242493,-39,0,0,1429.21,-1,13279.47,9943.33996582031,0,778.089996337891,860.899997711182,-41.5000003576279,13109.8798828125,0,0,14310.42,0,0,5582.39,-4.64999997615814,0,671.590003013611,61.7800002098083,8.22999954223633,-0.400000005960464,0,0,0,-54.2999992370605,0,13798,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,52,70.64,156,121.78,612,105.49,30,2,52,112327.12,27878.1599121094,17117.2702636719,6.29,0,-1099.5,27299.84,1255.80002403259,0,2065.76,0,222.66,0,29948.64,476.64,54.4999997615814,-84.5000009536743,0,0,1202.1,0,11248.91,8595.49005126953,0,809.01000213623,1447.72001647949,-143.249997138977,10979.1999511719,0,-3.99000000953674,14160.7,0,0,5217.85,-13.4699993133545,131.43,643.729991912842,231.79000377655,0,0,0,0,0,-26.1899998188019,0,13108,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,53,72.7,148,149.05,2071,107.11,23,2,53,121262.73,29006.9106445312,19211.8295898438,1.51,0,-2492.53,29087.64,2895.16998291016,-435.400005340576,2473.15,0,419.23,-13,29830.52,460.05,41.9199993610382,-2.80000001192093,0,0,1166.18,-56.3500003814697,11835.7,10164.1999511719,0,939.669998168945,1337.3200302124,-826.5,12330.2200927734,0,0,14777.41,0,0,5692.42,-4.25,0,586.68000793457,161.759999275208,0,-4.23999989032745,0,0,0,-490.960010528564,0,12993,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,54,93.81,79,182.6,273,218.24,37,2,54,120770.52,30053.609375,19506.66015625,7.87,0,-4683.34,30355.58,1696.15998840332,-66.0999994277954,1986.96,0,883.91,-145,30070.01,362.76,60.150000333786,-1348.30000305176,0,0,1164.15,0,11567.81,9880.76000976562,0,829.919998168945,1085.14998626709,-993.100006103516,11803.4700927734,0,0,13873.41,0,0,5439.45,-278.909999847412,0,413.49000453949,237.96000289917,0,-6.24000012874603,0,0,0,-328.580001831055,0,13991,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,55,0,0,0,0,0,0,2,55,120242.43,28334.0200195312,19533.1401367188,1.21,0,-2074.27,31049.45,1919.17999267578,-1,2332.46,0,2494.91,-427.139999389648,26588.08,489.32,43.059999704361,-119.14999961853,0,-1.98000001907349,659.75,0,11838.96,8168.0400390625,0,739.159996032715,1017.05999755859,-29.4799995422363,12088.7602539062,0,-1,13004.99,0,0,5476.15,-36.3499999046326,0,383.899996757507,182.580003976822,0,-2.53000003099442,0.99,0,0,-759.490001678467,0,13882,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,56,73.88,397,129.41,1055,111.3,73,2,56,116774.78,23909.2795410156,14620.6900634766,41,0,-42.65,28524.89,2057.53001403809,-0.5,2338.91,0,1122.84,-190,24532.91,706.49,62.0100002288818,0,0,0,303,0,12212.82,7060.16998291016,0,644.410003662109,1273.49001312256,-12.2399997711182,10650.9401855469,0,0,12100.51,0,0,3635.78,-11,0,346.18000793457,678.000005722046,0,0,0,0,0,-195.590000152588,1337.02,12562,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,57,85.82,116,148.72,452,221.87,39,2,57,101459.49,26616.83984375,18748.3798828125,45.39,0,-1588.05,28005.17,1432.59000396729,0,2741.91,0,1767.01,-176,24186.33,1255.31,64.6399986743927,-7.96000003814697,0,-5.17999982833862,612.4,0,10004.86,7797.11999511719,0,651.959999084473,992.639999389648,-54.1899995803833,11557.5,0,0,12224.05,0,0,5161.55,-18.4400000572205,48.04,379.489994049072,543.599998474121,0,0,0,0,0,-483.269996643066,1757.76,12830,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,58,125.55,573,198.96,1113,214.64,38,2,58,110345.31,27122.41015625,21326.9200439453,51.1,0,-520.51,28577.67,1369.24998474121,0,1590.79,0,1229.5,-237.909999847412,25291.46,763.22,333.479999899864,-73.689998626709,0,-1,1378.37,0,11146.13,7641.669921875,0,500.769996643066,907.400001525879,-11.0699999332428,9838.47009277344,0,0,14955.4,0,0,3748,-10.1999998986721,0,342.570007324219,422.049995422363,0,0,0,0,0,-273.939998626709,1476.28,14864,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,59,105.59,527,185.2,1126,174.72,102,2,59,108636.51,27608.6496582031,15927.7602539062,31.93,0,-1297.79,26895.12,4063.36001586914,-1222.20000457764,1692.72,0,1385.25,-191,23669.45,1482.96,37.07000041008,-6.60000014305115,0,0,695.7,-5.98999977111816,10727.01,7464.70989990234,0,666.349998474121,1163.0599822998,-216.760000228882,11879.0598144531,0,0,11986.51,0,0,5009.28,-8.40000005066395,0,526.539987564087,284.700001716614,0,-17.5600002408028,0,0,0,-277.5,1764.63,13098,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,60,93.81,93,182.66,691,238.84,42,2,60,106914.12,26092.8400878906,17568.9100341797,-79.59,0,-612.56,26155.84,1737.54002380371,-109.640001296997,1569.28,0,1345.69,-104,23544.92,786.86,169.599998474121,-461.399997711182,0,0,520.05,0,10284.48,8132.97998046875,0,722.219993591309,1021.6900100708,-293.739999771118,11137.0001220703,0,0,12819.84,0,0,5388.86,-32.75,0,696.660003662109,435.21000289917,0,-18.2800006866455,0,0,0,-457.949996948242,2178.3,12142,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,61,85.82,643,169.27,941,151.16,52,2,61,101903.02,26151.3100585938,16156.8601074219,-63.8,0,-648.86,27016.28,1900.54002380371,-526.519985198975,1075.27,0,754.51,-87.3799991607666,24216.39,732.32,128.170000076294,-868.799995422363,0,0,486.69,-7.98000001907349,9248.03,7755.03997802734,0,614.46000289917,1047.9700012207,-203.25,11012.0699462891,0,0,11906.81,628.950012207031,0,4224.26,-42.5400009155273,0,459.939992904663,154.380002975464,0,-21.0199991464615,0,0,0,-1133.65000152588,1852.28,11470,0,0,0,0,0,0,0,0,0,0,0,0,2548
